id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
trip-000000,2016-02-17 09:05:48,2016-02-17 09:17:09,1,-74.021148,40.784145,-73.994608,40.763741,682
trip-000001,2016-05-21 20:23:52,2016-05-21 20:35:34,1,-73.930482,40.804568,-73.897914,40.827094,702
trip-000002,2016-05-26 18:13:41,2016-05-26 18:29:21,3,-73.88036,40.581185,-73.825307,40.567264,941
trip-000003,2016-02-22 07:12:37,2016-02-22 07:20:56,1,-73.759528,40.855168,-73.755915,40.846977,499
trip-000004,2016-02-24 11:53:25,2016-02-24 12:03:46,3,-73.716134,40.738059,-73.739864,40.742632,622
trip-000005,2016-06-11 13:15:16,2016-06-11 13:22:52,2,-73.710751,40.673705,-73.693459,40.65757,456
trip-000006,2016-06-26 21:13:52,2016-06-26 21:22:06,1,-73.940526,40.760563,-73.939366,40.786192,495
trip-000007,2016-01-16 19:24:05,2016-01-16 19:33:31,1,-73.700802,40.774274,-73.722178,40.772635,566
trip-000008,2016-02-16 09:04:29,2016-02-16 09:13:09,1,-73.75341,40.792216,-73.786268,40.813276,521
trip-000009,2016-01-22 09:45:56,2016-01-22 09:57:11,1,-74.021444,40.833789,-74.019579,40.803406,676
trip-000010,2016-03-06 21:03:46,2016-03-06 21:10:10,1,-73.995905,40.720553,-73.991581,40.731157,384
trip-000011,2016-05-16 18:17:01,2016-05-16 18:34:17,1,-73.985136,40.714508,-73.944821,40.756271,1036
trip-000012,2016-04-16 18:10:51,2016-04-16 18:20:02,1,-73.715518,40.711047,-73.700255,40.709526,551
trip-000013,2016-03-22 12:33:52,2016-03-22 12:39:52,1,-73.876001,40.866847,-73.892797,40.877613,361
trip-000014,2016-02-07 20:43:13,2016-02-07 20:50:30,2,-74.018454,40.625234,-74.024482,40.60578,438
trip-000015,2016-01-27 08:54:03,2016-01-27 09:01:37,1,-74.012587,40.839746,-74.025779,40.840208,455
trip-000016,2016-05-18 02:23:40,2016-05-18 02:30:09,4,-74.04746,40.645608,-74.063507,40.643869,390
trip-000017,2016-04-03 21:33:28,2016-04-03 21:44:11,3,-73.942343,40.792141,-73.937224,40.756265,643
trip-000018,2016-01-04 07:48:14,2016-01-04 07:53:20,2,-74.001525,40.625984,-74.016964,40.638763,306
trip-000019,2016-02-24 00:12:24,2016-02-24 00:20:11,4,-74.044639,40.883064,-74.026818,40.884752,468
trip-000020,2016-05-03 19:52:37,2016-05-03 20:03:22,2,-73.746668,40.717745,-73.722583,40.697015,646
trip-000021,2016-04-09 13:00:41,2016-04-09 13:11:05,1,-74.03932,40.843004,-74.004733,40.862479,624
trip-000022,2016-05-12 21:13:43,2016-05-12 21:20:21,5,-73.954868,40.712385,-73.942767,40.719513,398
trip-000023,2016-05-15 13:49:17,2016-05-15 14:15:05,1,-73.887515,40.68732,-73.847925,40.599137,1548
trip-000024,2016-01-21 17:56:07,2016-01-21 18:03:38,1,-73.995213,40.851671,-73.987744,40.837899,451
trip-000025,2016-06-04 13:21:03,2016-06-04 13:25:39,1,-73.874412,40.770759,-73.866899,40.775378,277
trip-000026,2016-04-18 15:16:15,2016-04-18 15:25:03,1,-73.932929,40.898674,-73.949836,40.877542,529
trip-000027,2016-01-11 09:46:10,2016-01-11 09:55:20,4,-73.969903,40.641168,-73.94938,40.642332,550
trip-000028,2016-06-23 06:49:57,2016-06-23 06:55:20,2,-73.721126,40.705265,-73.714734,40.690278,323
trip-000029,2016-04-17 14:24:36,2016-04-17 14:36:21,1,-73.886922,40.658856,-73.936194,40.622858,705
trip-000030,2016-02-13 13:29:24,2016-02-13 13:44:10,1,-74.025307,40.648308,-74.084668,40.645268,887
trip-000031,2016-06-28 17:06:15,2016-06-28 17:20:27,1,-74.012121,40.893506,-74.032958,40.934508,853
trip-000032,2016-01-07 06:53:27,2016-01-07 07:14:52,6,-73.716077,40.59672,-73.604825,40.61531,1286
trip-000033,2016-03-24 09:08:40,2016-03-24 09:21:07,1,-73.828424,40.763007,-73.855935,40.742438,747
trip-000034,2016-01-08 07:04:58,2016-01-08 07:20:24,6,-73.895952,40.787067,-73.943433,40.758237,927
trip-000035,2016-05-20 00:22:49,2016-05-20 00:33:57,2,-73.749253,40.805246,-73.754495,40.854687,669
trip-000036,2016-05-20 09:16:45,2016-05-20 09:31:05,1,-73.961438,40.69146,-73.92938,40.724826,861
trip-000037,2016-01-18 07:04:54,2016-01-18 07:17:08,1,-73.756804,40.702671,-73.786841,40.715822,735
trip-000038,2016-02-23 08:53:15,2016-02-23 09:07:26,4,-73.765496,40.685808,-73.823863,40.686316,851
trip-000039,2016-06-07 15:37:06,2016-06-07 15:49:29,2,-73.93889,40.667074,-73.994939,40.657744,744
trip-000040,2016-02-17 15:25:47,2016-02-17 15:32:26,5,-73.906763,40.747597,-73.912037,40.743582,400
trip-000041,2016-04-15 09:16:01,2016-04-15 09:20:40,1,-73.990782,40.751977,-73.996396,40.75816,280
trip-000042,2016-04-09 01:49:26,2016-04-09 02:01:29,1,-73.942207,40.756213,-73.926191,40.730659,724
trip-000043,not-a-timestamp,2016-06-10 21:50:04,1,-73.913801,40.865022,-73.921165,40.825314,769
trip-000044,2016-05-15 23:54:46,2016-05-15 23:59:15,1,-73.776978,40.653813,-73.775418,40.668554,270
trip-000045,2016-05-23 11:51:28,2016-05-23 11:55:33,1,-73.902376,40.623934,-73.901066,40.627024,246
trip-000046,2016-01-17 16:06:03,2016-01-17 16:21:16,3,-73.751608,40.746017,-73.796782,40.734931,914
trip-000047,2016-06-07 07:51:46,2016-06-07 07:59:33,2,-74.006241,40.657999,-74.021279,40.654215,468
trip-000048,2016-03-23 17:42:05,2016-03-23 17:53:15,1,-73.846042,40.593984,-73.879403,40.595102,671
trip-000049,2016-01-11 08:05:51,2016-01-11 08:21:14,1,-73.857672,40.555304,-73.920234,40.574986,924
trip-000050,2016-01-18 14:40:55,2016-01-18 14:52:09,2,-73.703616,40.892097,-73.652114,40.893871,674
trip-000051,2016-05-10 21:28:12,2016-05-10 21:33:50,1,-73.91296,40.763868,-73.90238,40.769326,339
trip-000052,2016-06-10 18:33:32,2016-06-10 18:38:48,4,-73.888674,40.79263,-73.88965,40.796563,317
trip-000053,2016-02-05 09:55:18,2016-02-05 10:03:02,1,-73.881207,40.75658,-73.906926,40.766044,465
trip-000054,2016-02-23 20:55:18,2016-02-23 21:09:01,1,-73.960172,40.893208,-73.895948,40.912203,823
trip-000055,2016-02-18 10:50:33,2016-02-18 10:54:42,1,-73.982768,40.615052,-73.969773,40.594018,249
trip-000056,2016-06-11 17:05:01,2016-06-11 17:21:20,2,-73.822328,40.793852,-73.76377,40.775123,979
trip-000057,2016-02-29 09:31:53,2016-02-29 09:42:49,1,-73.966756,40.810168,-73.924581,40.812914,656
