date,temp_c,precipitation_mm,weather
2016-01-01,-10.6,0.9,rain
2016-01-02,-9.9,2.6,rain
2016-01-03,-11.4,3.0,snow
2016-01-04,-13.0,0.3,snow
2016-01-05,-12.0,6.0,snow
2016-01-06,-13.3,17.3,rain
2016-01-07,-10.7,0.0,cloudy
2016-01-08,-7.6,1.6,snow
2016-01-09,-12.2,0.0,cloudy
2016-01-10,-12.5,6.4,snow
2016-01-11,-9.7,0.0,cloudy
2016-01-12,-10.1,3.9,rain
2016-01-13,-10.7,0.0,cloudy
2016-01-14,-13.3,0.9,snow
2016-01-15,-11.1,16.1,snow
2016-01-16,-9.3,0.0,cloudy
2016-01-17,-14.4,2.8,snow
2016-01-18,-12.1,4.8,snow
2016-01-19,-15.7,4.0,rain
2016-01-20,-14.2,0.0,clear
2016-01-21,-15.5,1.9,rain
2016-01-22,-11.5,0.0,clear
2016-01-23,-14.0,0.0,cloudy
2016-01-24,-10.2,0.0,clear
2016-01-25,-10.4,4.2,rain
2016-01-26,-11.2,0.0,clear
2016-01-27,-17.0,0.0,cloudy
2016-01-28,-12.0,5.3,snow
2016-01-29,-10.7,13.3,snow
2016-01-30,-10.3,0.0,clear
2016-01-31,-14.3,8.0,snow
2016-02-01,-11.6,0.0,clear
2016-02-02,-12.8,0.0,clear
2016-02-03,-12.3,2.8,snow
2016-02-04,-7.6,0.0,cloudy
2016-02-05,-12.2,2.9,snow
2016-02-06,-10.1,6.3,rain
2016-02-07,-7.8,4.3,snow
2016-02-08,-11.3,0.0,clear
2016-02-09,-10.1,0.0,clear
2016-02-10,-9.4,2.9,rain
2016-02-11,-9.4,4.8,snow
2016-02-12,-12.6,0.0,clear
2016-02-13,-9.2,0.0,clear
2016-02-14,-5.9,0.0,clear
2016-02-15,-13.0,0.0,cloudy
2016-02-16,-6.9,0.0,clear
2016-02-17,-8.6,0.0,cloudy
2016-02-18,-10.4,0.0,clear
2016-02-19,-3.7,1.4,rain
2016-02-20,-6.6,5.4,snow
2016-02-21,-11.4,0.0,clear
2016-02-22,-8.1,4.7,snow
2016-02-23,-6.7,0.0,cloudy
2016-02-24,-8.5,0.0,cloudy
2016-02-25,-6.2,4.9,snow
2016-02-26,-7.9,23.0,rain
2016-02-27,-5.9,3.4,snow
2016-02-28,-3.8,0.0,clear
2016-02-29,-8.9,3.3,rain
2016-03-01,-6.6,0.0,cloudy
2016-03-02,-8.1,3.4,rain
2016-03-03,-6.4,0.0,clear
2016-03-04,-9.6,0.0,clear
